location,site,n,mean_tot_weight,medprop_Amphipod,minprop_Amphipod,maxprop_Amphipod,medprop_Barnacle,minprop_Barnacle,maxprop_Barnacle,medprop_Calanoid copepod,minprop_Calanoid copepod,maxprop_Calanoid copepod,medprop_Cladoceran,minprop_Cladoceran,maxprop_Cladoceran,medprop_Decapod,minprop_Decapod,maxprop_Decapod,medprop_Euphausiid,minprop_Euphausiid,maxprop_Euphausiid,medprop_Larvacean,minprop_Larvacean,maxprop_Larvacean,medprop_Other,minprop_Other,maxprop_Other
JS,J02,10,512.643,0.023,0,0.499,0,0,0,0.858,0.4,0.989,0,0,0,0,0,0.022,0.003,0,0.446,0,0,0,0.019,0,0.142
JS,J09,11,23.696,0,0,0,0,0,0.025,0.844,0.37,1,0,0,0.007,0.074,0,0.63,0,0,0.469,0.007,0,0.101,0,0,0.11
JS,J08,10,128.029,0,0,0,0,0,0,0.992,0.975,1,0,0,0,0,0,0,0,0,0.003,0,0,0,0.006,0,0.025
JS,J04,10,40.025,0,0,0.017,0,0,0.009,0.851,0.372,1,0,0,0,0.001,0,0.561,0.036,0,0.26,0,0,0,0.007,0,0.175
JS,J07,11,139.072,0,0,0,0,0,0.001,0.977,0.831,1,0,0,0,0,0,0,0,0,0.001,0,0,0.012,0.023,0,0.169
JS,J06,10,6.46,0,0,0,0.019,0,0.111,0.949,0.697,1,0,0,0,0,0,0.23,0,0,0.01,0,0,0.273,0,0,0.27
DI,D11,10,32.286,0,0,0.015,0.001,0,0.008,0.005,0,0.11,0,0,0,0,0,0.575,0.008,0,0.058,0.932,0.248,0.987,0.016,0,0.051
DI,D10,10,18.555,0,0,0.041,0,0,0,0.655,0.313,0.877,0,0,0,0,0,0.318,0.006,0,0.147,0.268,0,0.64,0,0,0.021
DI,D09,10,15.617,0,0,0.241,0,0,0.006,0.1,0,0.259,0,0,0.005,0.05,0,1,0,0,0.03,0.738,0,0.938,0,0,0.157
DI,D08,10,11.593,0.128,0,0.69,0,0,0.174,0,0,0.32,0,0,0.023,0.036,0,0.736,0,0,0.001,0.359,0,0.974,0.015,0.001,1
DI,D07,9,143.395,0.162,0,0.682,0,0,0.001,0.001,0,0.028,0,0,0.001,0,0,0.028,0,0,0.654,0.832,0,0.999,0,0,0.004
DI,D06,10,357.476,0,0,0.054,0,0,0,0.279,0.08,0.68,0,0,0,0,0,0.001,0.495,0.19,0.863,0,0,0,0.144,0,0.367
