year,stock_1,n,proportion
2015,CHILKO,319,0.36167800453514737
2016,L_SHUSWAP,190,0.23720349563046192
2016,CHILKO,132,0.1647940074906367
2016,L_ADAMS,107,0.13358302122347065
2016,MIDDLESHUSWAP,82,0.10237203495630462
2015,L_ADAMS,75,0.08503401360544217
2016,SCOTCH,59,0.07365792759051186
2015,MITCHELL,62,0.07029478458049887
2015,PITT,42,0.047619047619047616
2016,QUESNEL_HORSEF,38,0.04744069912609238
2015,BIRKENHEAD,32,0.036281179138321996
2015,QUESNEL_HORSEF,31,0.035147392290249435
2015,QUESNEL_MITCHE,31,0.035147392290249435
2016,HORSEFLY,28,0.03495630461922597
2015,SCOTCH,30,0.034013605442176874
2015,SEYMOUR,30,0.034013605442176874
2016,MITCHELL,23,0.02871410736579276
2015,GATES_CR,25,0.02834467120181406
2016,SEYMOUR,21,0.026217228464419477
2015,PINCHI_CR,20,0.022675736961451247
2016,CHILKO-NORTH,15,0.018726591760299626
2016,NIMPKISH,14,0.017478152309612985
2015,MIDDLE,15,0.017006802721088437
2015,NIMPKISH,15,0.017006802721088437
2016,BLUE_LEAD_CK,13,0.016229712858926344
2016,NADINA,12,0.0149812734082397
2016,STELLAKO,12,0.0149812734082397
2015,STELLAKO,13,0.01473922902494331
2015,U_HORSEFLY,12,0.013605442176870748
2015,WEAVER,12,0.013605442176870748
2015,WOSS_LAKE,12,0.013605442176870748
2016,LITTLE,10,0.012484394506866416
2015,CHILKO_SOUTH,10,0.011337868480725623
2015,PAULA,10,0.011337868480725623
2015,TACHIE,10,0.011337868480725623
2015,THOMPSON_N,10,0.011337868480725623
2016,MCKINLEY,9,0.011235955056179775
2016,QUESNEL_MITCHE,8,0.009987515605493134
2015,BLACKWATER,8,0.009070294784580499
2016,EAGLE_L,6,0.00749063670411985
2015,QUESNEL_DECEPT,6,0.006802721088435374
2015,BLUE_LEAD_CK,5,0.005668934240362812
2015,L_SHUSWAP,5,0.005668934240362812
2016,FENNELL,4,0.004993757802746567
2016,TACHIE,4,0.004993757802746567
2016,WOSS_LAKE,4,0.004993757802746567
2015,BOWRON,4,0.0045351473922902496
2015,CHILKO-NORTH,4,0.0045351473922902496
2015,NARROWS,4,0.0045351473922902496
2015,PHILLIPS,4,0.0045351473922902496
2015,PORTAGE_CR,4,0.0045351473922902496
2015,WASKO_CR,4,0.0045351473922902496
2016,BIRKENHEAD,3,0.003745318352059925
2015,HORSEFLY,3,0.003401360544217687
2016,ROARING,2,0.0024968789013732834
2015,GLUSKIE,2,0.0022675736961451248
2015,KUZKWA_CR,2,0.0022675736961451248
2015,LITTLE,2,0.0022675736961451248
2015,NAHATLATCH,2,0.0022675736961451248
2015,PORTER_CR,2,0.0022675736961451248
2015,SAKINAW,2,0.0022675736961451248
2016,DOLLYVARDEN_CR,1,0.0012484394506866417
2016,GATES_CR,1,0.0012484394506866417
2016,KUZKWA_CR,1,0.0012484394506866417
2016,NAHATLATCH,1,0.0012484394506866417
2016,SAKINAW,1,0.0012484394506866417
2015,BAKER_LAKE,1,0.0011337868480725624
2015,CHILLIW_LAKE,1,0.0011337868480725624
2015,KYNOCK,1,0.0011337868480725624
